Target Distance: 200, Step Size: 20
6080: (x,y)=(-175.443,-49.248)
6081: (x,y)=(-176.32,-51.0456)
6082: (x,y)=(-177.004,-49.1663)
6083: (x,y)=(-178.122,-47.5082)
6084: (x,y)=(-176.255,-46.7914)
6085: (x,y)=(-175.052,-48.3887)
6086: (x,y)=(-176.849,-49.2655)
6087: (x,y)=(-174.937,-49.8502)
6088: (x,y)=(-176.026,-48.1729)
6089: (x,y)=(-178.023,-48.0682)
6090: (x,y)=(-176.023,-48.0682)
6091: (x,y)=(-175.339,-49.9476)
6092: (x,y)=(-174.309,-48.2332)
6093: (x,y)=(-175.673,-49.6959)
6094: (x,y)=(-176.932,-48.1417)
6095: (x,y)=(-175.62,-46.6322)
6096: (x,y)=(-176.878,-48.1865)
6097: (x,y)=(-175.514,-46.7238)
6098: (x,y)=(-176.977,-45.3598)
6099: (x,y)=(-178.952,-45.6727)
6100: (x,y)=(-177.03,-46.224)
6101: (x,y)=(-175.031,-46.2938)
6102: (x,y)=(-174.25,-48.1348)
6103: (x,y)=(-173.436,-49.9619)
6104: (x,y)=(-171.704,-48.9619)
6105: (x,y)=(-170.586,-47.3038)
6106: (x,y)=(-169.836,-49.1582)
6107: (x,y)=(-171.806,-49.5055)
6108: (x,y)=(-169.85,-49.0896)
6109: (x,y)=(-170.566,-50.9568)
6110: (x,y)=(-169.85,-49.0896)
6111: (x,y)=(-168.068,-48.1816)
6112: (x,y)=(-168.817,-46.3273)
6113: (x,y)=(-168.573,-44.3422)
6114: (x,y)=(-166.859,-43.3121)
6115: (x,y)=(-166.615,-45.2972)
6116: (x,y)=(-168.273,-44.1788)
6117: (x,y)=(-170.196,-44.7301)
6118: (x,y)=(-169.077,-43.072)
6119: (x,y)=(-167.345,-44.072)
6120: (x,y)=(-166.17,-45.6901)
6121: (x,y)=(-164.615,-46.9487)
6122: (x,y)=(-165.429,-45.1216)
6123: (x,y)=(-165.151,-47.1021)
6124: (x,y)=(-163.338,-47.9474)
6125: (x,y)=(-163.956,-46.0453)
6126: (x,y)=(-163.239,-47.9124)
6127: (x,y)=(-163.483,-49.8975)
6128: (x,y)=(-162.766,-48.0304)
6129: (x,y)=(-162.766,-46.0304)
6130: (x,y)=(-161.328,-47.4197)
6131: (x,y)=(-163.207,-48.1037)
6132: (x,y)=(-161.653,-46.8451)
6133: (x,y)=(-159.812,-46.0636)
6134: (x,y)=(-159.603,-48.0526)
6135: (x,y)=(-160.187,-46.14)
6136: (x,y)=(-159.503,-44.2607)
6137: (x,y)=(-160.679,-42.6426)
6138: (x,y)=(-158.68,-42.7124)
6139: (x,y)=(-157.083,-41.5088)
6140: (x,y)=(-157.832,-39.6544)
6141: (x,y)=(-157.083,-41.5088)
6142: (x,y)=(-155.256,-40.6953)
6143: (x,y)=(-153.292,-41.0769)
6144: (x,y)=(-152.061,-39.5009)
6145: (x,y)=(-152.096,-41.5006)
6146: (x,y)=(-154.028,-40.983)
6147: (x,y)=(-152.565,-42.347)
6148: (x,y)=(-152.947,-40.3837)
6149: (x,y)=(-153.121,-42.3761)
6150: (x,y)=(-151.324,-43.2528)
6151: (x,y)=(-153.151,-44.0663)
6152: (x,y)=(-152.369,-45.9073)
6153: (x,y)=(-153.987,-47.0829)
6154: (x,y)=(-152.221,-48.0218)
6155: (x,y)=(-151.943,-46.0413)
6156: (x,y)=(-150.064,-45.3573)
6157: (x,y)=(-151.376,-43.8478)
6158: (x,y)=(-152.838,-42.4838)
6159: (x,y)=(-150.898,-42)
6160: (x,y)=(-150.313,-40.0874)
6161: (x,y)=(-148.422,-40.7385)
6162: (x,y)=(-150.417,-40.599)
6163: (x,y)=(-152.23,-41.4443)
6164: (x,y)=(-153.848,-40.2687)
6165: (x,y)=(-153.987,-42.2638)
6166: (x,y)=(-152.411,-43.4951)
6167: (x,y)=(-153.288,-41.6975)
6168: (x,y)=(-155.22,-41.1799)
6169: (x,y)=(-156.878,-42.2983)
6170: (x,y)=(-158.025,-43.9366)
6171: (x,y)=(-160.02,-43.7971)
6172: (x,y)=(-160.769,-41.9427)
6173: (x,y)=(-161.013,-39.9576)
6174: (x,y)=(-162.351,-41.4439)
6175: (x,y)=(-162.177,-43.4363)
6176: (x,y)=(-163.237,-41.7402)
6177: (x,y)=(-161.579,-40.6218)
6178: (x,y)=(-162.968,-42.0605)
6179: (x,y)=(-162.829,-44.0556)
6180: (x,y)=(-162.178,-42.1646)
6181: (x,y)=(-163.567,-43.6033)
6182: (x,y)=(-162.281,-45.1354)
6183: (x,y)=(-164.108,-45.9488)
6184: (x,y)=(-163.139,-47.6981)
6185: (x,y)=(-165.051,-47.1133)
6186: (x,y)=(-163.337,-46.0833)
6187: (x,y)=(-162.162,-44.4652)
6188: (x,y)=(-162.975,-42.6381)
6189: (x,y)=(-164.741,-41.6992)
6190: (x,y)=(-162.744,-41.8039)
6191: (x,y)=(-160.994,-40.8342)
6192: (x,y)=(-162.807,-39.989)
6193: (x,y)=(-161.962,-41.8016)
6194: (x,y)=(-162.136,-39.8092)
6195: (x,y)=(-161.652,-37.8686)
6196: (x,y)=(-163.652,-37.8686)
6197: (x,y)=(-163.722,-39.8674)
6198: (x,y)=(-163.687,-41.8671)
6199: (x,y)=(-161.687,-41.902)
6200: (x,y)=(-163.515,-41.0885)
6201: (x,y)=(-161.702,-41.9338)
6202: (x,y)=(-162.82,-40.2757)
6203: (x,y)=(-162.007,-42.1028)
6204: (x,y)=(-163.561,-40.8442)
6205: (x,y)=(-164.765,-42.4414)
6206: (x,y)=(-163.401,-43.9041)
6207: (x,y)=(-164.34,-42.1382)
6208: (x,y)=(-162.427,-41.5535)
6209: (x,y)=(-164.268,-42.335)
6210: (x,y)=(-166.095,-41.5215)
6211: (x,y)=(-166.713,-43.4236)
6212: (x,y)=(-164.781,-42.906)
6213: (x,y)=(-166.738,-42.4901)
6214: (x,y)=(-165.08,-41.3718)
6215: (x,y)=(-166.612,-40.0862)
6216: (x,y)=(-168.326,-39.0561)
6217: (x,y)=(-168.673,-41.0257)
6218: (x,y)=(-169.643,-42.775)
6219: (x,y)=(-168.992,-44.666)
6220: (x,y)=(-169.201,-46.655)
6221: (x,y)=(-167.321,-45.971)
6222: (x,y)=(-168.381,-47.6671)
6223: (x,y)=(-170.039,-48.7855)
6224: (x,y)=(-171.837,-47.9087)
6225: (x,y)=(-170.305,-49.1943)
6226: (x,y)=(-169.992,-51.1697)
6227: (x,y)=(-171.688,-50.1099)
6228: (x,y)=(-173.365,-49.0206)
6229: (x,y)=(-173.053,-50.9959)
6230: (x,y)=(-171.057,-51.1355)
6231: (x,y)=(-169.308,-50.1658)
6232: (x,y)=(-171.293,-50.4096)
6233: (x,y)=(-169.579,-51.4397)
6234: (x,y)=(-169.028,-49.5171)
6235: (x,y)=(-170.907,-48.8331)
6236: (x,y)=(-171.624,-46.9659)
6237: (x,y)=(-173.623,-46.931)
6238: (x,y)=(-173.039,-48.8436)
6239: (x,y)=(-172.623,-46.8873)
6240: (x,y)=(-172.623,-44.8873)
6241: (x,y)=(-170.81,-45.7326)
6242: (x,y)=(-171.192,-43.7693)
6243: (x,y)=(-171.297,-41.7721)
6244: (x,y)=(-169.394,-42.3901)
6245: (x,y)=(-171.192,-41.5134)
6246: (x,y)=(-170.284,-43.2954)
6247: (x,y)=(-169.224,-41.5993)
6248: (x,y)=(-167.627,-42.8029)
6249: (x,y)=(-167.349,-40.8224)
6250: (x,y)=(-165.458,-40.1712)
6251: (x,y)=(-166.967,-41.4834)
6252: (x,y)=(-167.485,-43.4152)
6253: (x,y)=(-166.639,-45.2278)
6254: (x,y)=(-168.639,-45.1929)
6255: (x,y)=(-166.654,-44.9492)
6256: (x,y)=(-168.312,-46.0676)
6257: (x,y)=(-169.061,-47.9219)
6258: (x,y)=(-169.34,-45.9414)
6259: (x,y)=(-170.056,-44.0742)
6260: (x,y)=(-172.037,-44.3526)
6261: (x,y)=(-174.026,-44.5616)
6262: (x,y)=(-174.996,-42.8124)
6263: (x,y)=(-173.128,-42.0957)
6264: (x,y)=(-171.197,-42.6133)
6265: (x,y)=(-173.172,-42.9262)
6266: (x,y)=(-171.223,-43.3761)
6267: (x,y)=(-169.411,-44.2213)
6268: (x,y)=(-167.813,-43.0177)
6269: (x,y)=(-169.252,-41.6284)
6270: (x,y)=(-170.715,-42.9924)
6271: (x,y)=(-170.54,-44.9847)
6272: (x,y)=(-170.057,-46.9253)
6273: (x,y)=(-171.997,-46.4415)
6274: (x,y)=(-171.248,-44.5871)
6275: (x,y)=(-169.989,-43.0328)
6276: (x,y)=(-171.965,-42.72)
6277: (x,y)=(-172.965,-44.452)
6278: (x,y)=(-174.054,-42.7747)
6279: (x,y)=(-174.298,-44.7598)
6280: (x,y)=(-175.994,-43.6999)
6281: (x,y)=(-174.79,-42.1027)
6282: (x,y)=(-175.474,-40.2233)
6283: (x,y)=(-175.404,-38.2245)
6284: (x,y)=(-173.406,-38.2943)
6285: (x,y)=(-173.301,-36.297)
6286: (x,y)=(-174.361,-37.9931)
6287: (x,y)=(-176.353,-38.1674)
6288: (x,y)=(-176.318,-36.1677)
6289: (x,y)=(-175.7,-34.2656)
6290: (x,y)=(-177.663,-34.6472)
6291: (x,y)=(-177.698,-32.6475)
6292: (x,y)=(-179.694,-32.7871)
6293: (x,y)=(-181.371,-33.8763)
6294: (x,y)=(-182.34,-35.6256)
6295: (x,y)=(-181.495,-33.813)
6296: (x,y)=(-180.183,-35.3224)
6297: (x,y)=(-180.461,-33.3418)
6298: (x,y)=(-178.747,-34.3719)
6299: (x,y)=(-176.772,-34.0591)
6300: (x,y)=(-176.121,-32.168)
6301: (x,y)=(-175.842,-34.1486)
6302: (x,y)=(-177.806,-34.5302)
6303: (x,y)=(-175.849,-34.946)
6304: (x,y)=(-177.081,-33.37)
6305: (x,y)=(-175.526,-34.6286)
6306: (x,y)=(-176.01,-36.5692)
6307: (x,y)=(-176.98,-34.82)
6308: (x,y)=(-178.977,-34.9246)
6309: (x,y)=(-179.562,-33.012)
6310: (x,y)=(-177.63,-32.4944)
6311: (x,y)=(-178.281,-34.3854)
6312: (x,y)=(-176.296,-34.6292)
6313: (x,y)=(-176.435,-32.634)
6314: (x,y)=(-174.455,-32.3557)
6315: (x,y)=(-175.844,-33.7944)
6316: (x,y)=(-176.904,-35.4905)
6317: (x,y)=(-176.353,-37.413)
6318: (x,y)=(-178.342,-37.2039)
6319: (x,y)=(-176.462,-37.888)
6320: (x,y)=(-178.08,-36.7124)
6321: (x,y)=(-176.548,-37.998)
6322: (x,y)=(-174.751,-38.8747)
6323: (x,y)=(-174.369,-40.838)
6324: (x,y)=(-176.224,-40.0888)
6325: (x,y)=(-177.821,-41.2924)
6326: (x,y)=(-176.089,-42.2924)
6327: (x,y)=(-177.292,-40.6951)
6328: (x,y)=(-176.089,-39.0979)
6329: (x,y)=(-174.262,-38.2844)
6330: (x,y)=(-172.263,-38.2146)
6331: (x,y)=(-172.263,-40.2146)
6332: (x,y)=(-173.652,-38.7759)
6333: (x,y)=(-172.505,-37.1376)
6334: (x,y)=(-170.973,-38.4232)
6335: (x,y)=(-172.549,-39.6545)
6336: (x,y)=(-174.403,-38.9053)
6337: (x,y)=(-175.579,-37.2872)
6338: (x,y)=(-173.797,-36.3793)
6339: (x,y)=(-171.812,-36.623)
6340: (x,y)=(-171.812,-34.623)
6341: (x,y)=(-173.45,-33.4759)
6342: (x,y)=(-175.047,-32.2722)
6343: (x,y)=(-175.986,-30.5063)
6344: (x,y)=(-177.95,-30.1247)
6345: (x,y)=(-178.826,-31.9223)
6346: (x,y)=(-180.639,-31.0771)
6347: (x,y)=(-179.857,-32.9181)
6348: (x,y)=(-178.919,-31.1522)
6349: (x,y)=(-177.051,-31.8689)
6350: (x,y)=(-177.636,-29.9563)
6351: (x,y)=(-175.714,-30.5076)
6352: (x,y)=(-173.859,-29.7584)
6353: (x,y)=(-175.145,-31.2905)
6354: (x,y)=(-177.142,-31.3951)
6355: (x,y)=(-177.859,-33.2623)
6356: (x,y)=(-178.376,-35.1941)
6357: (x,y)=(-176.962,-33.7799)
6358: (x,y)=(-175.324,-32.6328)
6359: (x,y)=(-175.568,-30.6477)
6360: (x,y)=(-177.144,-31.879)
6361: (x,y)=(-178.375,-30.303)
6362: (x,y)=(-178.305,-32.3018)
6363: (x,y)=(-179.054,-30.4474)
6364: (x,y)=(-179.47,-32.4037)
6365: (x,y)=(-177.478,-32.578)
6366: (x,y)=(-176.015,-31.214)
6367: (x,y)=(-174.439,-29.9827)
6368: (x,y)=(-176.153,-28.9526)
6369: (x,y)=(-178.11,-29.3684)
6370: (x,y)=(-176.153,-28.9526)
6371: (x,y)=(-178.151,-28.8479)
6372: (x,y)=(-178.464,-26.8726)
6373: (x,y)=(-176.596,-26.1558)
6374: (x,y)=(-174.598,-26.086)
6375: (x,y)=(-175.598,-27.8181)
6376: (x,y)=(-177.294,-28.8779)
6377: (x,y)=(-175.739,-27.6193)
6378: (x,y)=(-176.678,-25.8534)
6379: (x,y)=(-175.56,-24.1953)
6380: (x,y)=(-175.734,-22.2029)
6381: (x,y)=(-174.18,-20.9443)
6382: (x,y)=(-175.492,-22.4537)
6383: (x,y)=(-174.743,-24.3081)
6384: (x,y)=(-172.743,-24.2731)
6385: (x,y)=(-171.512,-25.8492)
6386: (x,y)=(-171.13,-27.8124)
6387: (x,y)=(-169.167,-27.4308)
6388: (x,y)=(-167.265,-26.8128)
6389: (x,y)=(-167.715,-28.7615)
6390: (x,y)=(-169,-27.2294)
6391: (x,y)=(-169.382,-25.2662)
6392: (x,y)=(-168.322,-26.9623)
6393: (x,y)=(-166.322,-26.9274)
6394: (x,y)=(-166.288,-24.9277)
6395: (x,y)=(-165.084,-23.3304)
6396: (x,y)=(-166.023,-25.0963)
6397: (x,y)=(-167.254,-26.6723)
6398: (x,y)=(-167.254,-28.6723)
6399: (x,y)=(-168.099,-30.4849)
6400: (x,y)=(-170.069,-30.8322)
6401: (x,y)=(-171.896,-31.6457)
6402: (x,y)=(-169.899,-31.541)
6403: (x,y)=(-171.891,-31.3667)
6404: (x,y)=(-173.89,-31.2969)
6405: (x,y)=(-173.96,-29.2981)
6406: (x,y)=(-175.916,-29.714)
6407: (x,y)=(-177.796,-29.0299)
6408: (x,y)=(-176.357,-30.4192)
6409: (x,y)=(-177.796,-31.8085)
6410: (x,y)=(-176.457,-30.3223)
6411: (x,y)=(-175.906,-28.3997)
6412: (x,y)=(-174.229,-27.3105)
6413: (x,y)=(-174.945,-29.1776)
6414: (x,y)=(-172.95,-29.0381)
6415: (x,y)=(-174.526,-30.2694)
6416: (x,y)=(-173.618,-32.0514)
6417: (x,y)=(-175.257,-30.9043)
6418: (x,y)=(-173.258,-30.9741)
6419: (x,y)=(-171.356,-31.5921)
6420: (x,y)=(-173.351,-31.7316)
6421: (x,y)=(-172.065,-33.2637)
6422: (x,y)=(-170.351,-34.2938)
6423: (x,y)=(-172.351,-34.2589)
6424: (x,y)=(-173.41,-32.5628)
6425: (x,y)=(-174.5,-30.8855)
6426: (x,y)=(-173.592,-29.1034)
6427: (x,y)=(-171.914,-30.1927)
6428: (x,y)=(-169.983,-29.6751)
6429: (x,y)=(-171.939,-30.0909)
6430: (x,y)=(-173.448,-28.7788)
6431: (x,y)=(-172.897,-26.8563)
6432: (x,y)=(-172.55,-28.8259)
6433: (x,y)=(-170.593,-28.4101)
6434: (x,y)=(-168.766,-29.2235)
6435: (x,y)=(-168.351,-31.1798)
6436: (x,y)=(-167.261,-29.5025)
6437: (x,y)=(-165.339,-28.9512)
6438: (x,y)=(-165.513,-30.9436)
6439: (x,y)=(-163.959,-29.685)
6440: (x,y)=(-164.202,-31.6701)
6441: (x,y)=(-163.421,-33.5111)
6442: (x,y)=(-162.451,-35.2603)
6443: (x,y)=(-162.799,-37.2299)
6444: (x,y)=(-161.16,-36.0828)
6445: (x,y)=(-159.185,-35.7699)
6446: (x,y)=(-157.847,-34.2836)
6447: (x,y)=(-156.02,-33.4701)
6448: (x,y)=(-154.088,-32.9525)
6449: (x,y)=(-155.746,-34.0709)
6450: (x,y)=(-154.487,-35.6252)
6451: (x,y)=(-152.608,-36.3092)
6452: (x,y)=(-154.475,-37.0259)
6453: (x,y)=(-152.584,-36.3748)
6454: (x,y)=(-150.652,-35.8572)
6455: (x,y)=(-151.237,-37.7698)
6456: (x,y)=(-152.813,-36.5385)
6457: (x,y)=(-152.708,-34.5412)
6458: (x,y)=(-151.561,-36.1795)
6459: (x,y)=(-153.484,-35.6282)
6460: (x,y)=(-151.643,-36.4097)
6461: (x,y)=(-149.65,-36.584)
6462: (x,y)=(-149.546,-38.5813)
6463: (x,y)=(-150.164,-36.6792)
6464: (x,y)=(-148.398,-35.7402)
6465: (x,y)=(-146.398,-35.7751)
6466: (x,y)=(-148.075,-34.6858)
6467: (x,y)=(-149.988,-34.1011)
6468: (x,y)=(-148.729,-35.6554)
6469: (x,y)=(-149.729,-33.9233)
6470: (x,y)=(-151.718,-33.7143)
6471: (x,y)=(-150.937,-35.5553)
6472: (x,y)=(-152.084,-33.917)
6473: (x,y)=(-151.979,-35.9142)
6474: (x,y)=(-150.039,-35.4304)
6475: (x,y)=(-151.099,-37.1265)
6476: (x,y)=(-149.523,-35.8952)
6477: (x,y)=(-151.515,-35.7209)
6478: (x,y)=(-151.41,-37.7181)
6479: (x,y)=(-151.928,-39.65)
6480: (x,y)=(-150.061,-40.3667)
6481: (x,y)=(-150.026,-38.367)
6482: (x,y)=(-149.713,-40.3424)
6483: (x,y)=(-150.86,-41.9807)
6484: (x,y)=(-148.981,-42.6647)
6485: (x,y)=(-149.19,-44.6538)
6486: (x,y)=(-148.408,-42.8128)
6487: (x,y)=(-150.372,-42.4311)
6488: (x,y)=(-149.282,-40.7538)
6489: (x,y)=(-147.516,-41.6927)
6490: (x,y)=(-146.369,-40.0544)
6491: (x,y)=(-144.751,-41.23)
6492: (x,y)=(-143.439,-42.7394)
6493: (x,y)=(-144.156,-40.8723)
6494: (x,y)=(-145.415,-42.4266)
6495: (x,y)=(-145.966,-40.504)
6496: (x,y)=(-145.121,-38.6914)
6497: (x,y)=(-143.151,-39.0387)
6498: (x,y)=(-144.978,-39.8522)
6499: (x,y)=(-145.118,-41.8473)
6500: (x,y)=(-147.11,-42.0216)
6501: (x,y)=(-145.344,-41.0827)
6502: (x,y)=(-145.929,-42.9953)
6503: (x,y)=(-147.928,-42.9255)
6504: (x,y)=(-146.838,-44.6028)
6505: (x,y)=(-144.906,-45.1205)
6506: (x,y)=(-143.352,-46.3791)
6507: (x,y)=(-143.282,-44.3803)
6508: (x,y)=(-142.969,-42.405)
6509: (x,y)=(-143.846,-40.6074)
6510: (x,y)=(-144.33,-42.548)
6511: (x,y)=(-145.36,-44.2623)
6512: (x,y)=(-145.707,-46.2319)
6513: (x,y)=(-147.217,-47.544)
6514: (x,y)=(-148.156,-49.3099)
6515: (x,y)=(-146.199,-49.7258)
6516: (x,y)=(-145.818,-51.689)
6517: (x,y)=(-146.757,-49.9231)
6518: (x,y)=(-145.668,-51.6005)
6519: (x,y)=(-143.668,-51.5655)
6520: (x,y)=(-144.786,-53.2236)
6521: (x,y)=(-144.235,-51.3011)
6522: (x,y)=(-145.984,-52.2707)
6523: (x,y)=(-147.851,-52.9875)
6524: (x,y)=(-149.055,-54.5847)
6525: (x,y)=(-148.242,-56.4118)
6526: (x,y)=(-146.329,-56.9966)
6527: (x,y)=(-146.711,-55.0333)
6528: (x,y)=(-147.711,-56.7654)
6529: (x,y)=(-145.735,-57.0782)
6530: (x,y)=(-144.735,-55.3462)
6531: (x,y)=(-143.588,-53.7079)
6532: (x,y)=(-145.501,-53.1231)
6533: (x,y)=(-144.531,-51.3739)
6534: (x,y)=(-146.523,-51.1996)
6535: (x,y)=(-146.802,-53.1801)
6536: (x,y)=(-145.204,-51.9765)
6537: (x,y)=(-146.954,-51.0069)
6538: (x,y)=(-146.204,-49.1525)
6539: (x,y)=(-144.65,-50.4111)
6540: (x,y)=(-142.653,-50.5158)
6541: (x,y)=(-141.564,-52.1932)
6542: (x,y)=(-139.696,-52.9099)
6543: (x,y)=(-138.019,-53.9992)
6544: (x,y)=(-139.079,-52.3031)
6545: (x,y)=(-140.946,-51.5863)
6546: (x,y)=(-139.582,-50.1236)
6547: (x,y)=(-137.583,-50.1934)
6548: (x,y)=(-139.572,-50.4025)
6549: (x,y)=(-139.363,-48.4134)
6550: (x,y)=(-141.095,-49.4134)
6551: (x,y)=(-141.941,-47.6008)
6552: (x,y)=(-142.492,-49.5233)
6553: (x,y)=(-142.736,-47.5383)
6554: (x,y)=(-141.828,-45.7562)
6555: (x,y)=(-140.096,-46.7562)
6556: (x,y)=(-141.862,-45.8173)
6557: (x,y)=(-142.105,-47.8024)
6558: (x,y)=(-143.105,-49.5344)
6559: (x,y)=(-141.108,-49.6391)
6560: (x,y)=(-139.185,-50.1904)
6561: (x,y)=(-141.108,-49.6391)
6562: (x,y)=(-142.975,-50.3558)
6563: (x,y)=(-144.633,-49.2375)
6564: (x,y)=(-144.668,-47.2378)
6565: (x,y)=(-146.657,-47.4468)
6566: (x,y)=(-144.778,-48.1309)
6567: (x,y)=(-143.659,-49.7889)
6568: (x,y)=(-141.862,-50.6657)
6569: (x,y)=(-143.594,-51.6657)
6570: (x,y)=(-144.311,-49.7985)
6571: (x,y)=(-144.067,-47.8134)
6572: (x,y)=(-143.754,-45.8381)
6573: (x,y)=(-143.963,-43.849)
6574: (x,y)=(-145.963,-43.8141)
6575: (x,y)=(-143.987,-43.5012)
6576: (x,y)=(-144.769,-45.3422)
6577: (x,y)=(-143.215,-46.6009)
6578: (x,y)=(-143.354,-44.6058)
6579: (x,y)=(-141.357,-44.5011)
6580: (x,y)=(-139.401,-44.9169)
6581: (x,y)=(-139.261,-46.912)
6582: (x,y)=(-137.643,-45.7365)
6583: (x,y)=(-135.816,-44.923)
6584: (x,y)=(-133.835,-44.6446)
6585: (x,y)=(-132.896,-46.4105)
6586: (x,y)=(-134.311,-47.8248)
6587: (x,y)=(-134.032,-49.8053)
6588: (x,y)=(-134.38,-51.7749)
6589: (x,y)=(-134.692,-49.7995)
6590: (x,y)=(-133.116,-51.0309)
6591: (x,y)=(-131.262,-51.7801)
6592: (x,y)=(-132.322,-50.084)
6593: (x,y)=(-133.686,-48.6213)
6594: (x,y)=(-134.304,-50.5234)
6595: (x,y)=(-135.962,-49.405)
6596: (x,y)=(-134.23,-50.405)
6597: (x,y)=(-132.612,-51.5806)
6598: (x,y)=(-133.263,-49.6895)
6599: (x,y)=(-131.687,-50.9208)
6600: (x,y)=(-130.111,-52.1522)
6601: (x,y)=(-131.62,-50.8401)
6602: (x,y)=(-131.069,-48.9175)
6603: (x,y)=(-129.63,-47.5282)
6604: (x,y)=(-128.054,-46.2969)
6605: (x,y)=(-127.178,-48.0945)
6606: (x,y)=(-129.175,-47.9898)
6607: (x,y)=(-130.852,-46.9005)
6608: (x,y)=(-132.634,-45.9925)
6609: (x,y)=(-133.573,-47.7584)
6610: (x,y)=(-132.455,-49.4165)
6611: (x,y)=(-134.204,-50.3861)
6612: (x,y)=(-134.204,-48.3861)
6613: (x,y)=(-134.688,-46.4455)
6614: (x,y)=(-134.238,-44.4968)
6615: (x,y)=(-135.019,-46.3378)
6616: (x,y)=(-133.361,-45.2194)
6617: (x,y)=(-131.405,-44.8036)
6618: (x,y)=(-130.497,-43.0216)
6619: (x,y)=(-128.557,-42.5377)
6620: (x,y)=(-130.089,-41.2522)
6621: (x,y)=(-131.292,-42.8494)
6622: (x,y)=(-130.511,-44.6905)
6623: (x,y)=(-131.388,-42.8929)
6624: (x,y)=(-129.729,-44.0112)
6625: (x,y)=(-128.417,-42.5018)
6626: (x,y)=(-126.685,-41.5018)
6627: (x,y)=(-127.467,-39.6608)
6628: (x,y)=(-127.397,-41.6596)
6629: (x,y)=(-126.308,-39.9823)
6630: (x,y)=(-124.612,-41.0421)
6631: (x,y)=(-125.551,-42.808)
6632: (x,y)=(-127.526,-42.4951)
6633: (x,y)=(-127.456,-40.4963)
6634: (x,y)=(-129.297,-39.7149)
6635: (x,y)=(-130.386,-41.3922)
6636: (x,y)=(-129.637,-39.5379)
6637: (x,y)=(-130.923,-41.0699)
6638: (x,y)=(-130.141,-39.2289)
6639: (x,y)=(-128.565,-37.9976)
6640: (x,y)=(-127.033,-36.712)
6641: (x,y)=(-125.301,-37.712)
6642: (x,y)=(-124.271,-35.9977)
6643: (x,y)=(-126.241,-35.6504)
6644: (x,y)=(-124.851,-37.0891)
6645: (x,y)=(-123.01,-36.3076)
6646: (x,y)=(-123.045,-38.3073)
6647: (x,y)=(-123.597,-36.3848)
6648: (x,y)=(-124.181,-34.4722)
6649: (x,y)=(-126.138,-34.888)
6650: (x,y)=(-126.854,-36.7552)
6651: (x,y)=(-125,-37.5044)
6652: (x,y)=(-126.414,-38.9186)
6653: (x,y)=(-124.439,-38.6057)
6654: (x,y)=(-125.408,-40.355)
6655: (x,y)=(-123.75,-39.2366)
6656: (x,y)=(-125.114,-40.6993)
6657: (x,y)=(-126.88,-41.6382)
6658: (x,y)=(-125.418,-43.0022)
6659: (x,y)=(-127.403,-42.7585)
6660: (x,y)=(-129.23,-41.945)
6661: (x,y)=(-127.448,-41.037)
6662: (x,y)=(-126.54,-39.255)
6663: (x,y)=(-127.954,-40.6692)
6664: (x,y)=(-126.052,-41.2873)
6665: (x,y)=(-124.059,-41.4616)
6666: (x,y)=(-123.183,-39.664)
6667: (x,y)=(-121.607,-38.4327)
6668: (x,y)=(-122.158,-36.5101)
6669: (x,y)=(-120.582,-37.7415)
6670: (x,y)=(-119.168,-39.1557)
6671: (x,y)=(-117.436,-40.1557)
6672: (x,y)=(-116.021,-38.7415)
6673: (x,y)=(-116.021,-36.7415)
6674: (x,y)=(-115.176,-34.9289)
6675: (x,y)=(-116.514,-36.4151)
6676: (x,y)=(-117.853,-37.9014)
6677: (x,y)=(-119.028,-36.2834)
6678: (x,y)=(-119.905,-38.081)
6679: (x,y)=(-120.423,-40.0128)
6680: (x,y)=(-119.008,-41.4271)
6681: (x,y)=(-120.849,-40.6456)
6682: (x,y)=(-122.081,-42.2216)
6683: (x,y)=(-120.691,-43.6603)
6684: (x,y)=(-118.702,-43.8693)
6685: (x,y)=(-120.688,-44.1131)
6686: (x,y)=(-119.402,-45.6452)
6687: (x,y)=(-117.916,-46.9834)
6688: (x,y)=(-118.467,-45.0609)
6689: (x,y)=(-116.669,-44.1842)
6690: (x,y)=(-115.953,-46.0513)
6691: (x,y)=(-117.95,-46.156)
6692: (x,y)=(-116.137,-47.0012)
6693: (x,y)=(-117.624,-45.663)
6694: (x,y)=(-119.062,-47.0523)
6695: (x,y)=(-117.093,-47.3996)
6696: (x,y)=(-119.033,-46.9157)
6697: (x,y)=(-117.077,-47.3316)
6698: (x,y)=(-115.846,-45.7556)
6699: (x,y)=(-113.876,-46.1028)
6700: (x,y)=(-114.876,-47.8349)
6701: (x,y)=(-115.461,-49.7475)
6702: (x,y)=(-113.461,-49.7824)
6703: (x,y)=(-114.637,-48.1644)
6704: (x,y)=(-115.418,-50.0054)
6705: (x,y)=(-116.135,-51.8725)
6706: (x,y)=(-117.573,-50.4832)
6707: (x,y)=(-117.748,-48.4908)
6708: (x,y)=(-117.643,-50.4881)
6709: (x,y)=(-119.375,-49.4881)
6710: (x,y)=(-117.717,-48.3697)
6711: (x,y)=(-119.68,-48.7513)
6712: (x,y)=(-118.266,-50.1655)
6713: (x,y)=(-118.579,-48.1902)
6714: (x,y)=(-116.609,-47.8429)
6715: (x,y)=(-118.45,-47.0614)
6716: (x,y)=(-119.2,-45.207)
6717: (x,y)=(-118.852,-43.2374)
6718: (x,y)=(-117.852,-44.9695)
